노드ID,노드명,노드유형코드,노드유형명,회전제한유무,회전제한유무명,X좌표,Y좌표,TM_X좌표,TM_Y좌표
1020025700,도화우성아파트입구,101,도로교차점,0,무,126.9479707,37.5356783,195401.472,448465.2394
1020025800,삼각지역_백범로_진출,101,도로교차점,0,무,126.9732142,37.535868,197632.5881,448485.3585
1020025900,삼각지역_백범로_진입,101,도로교차점,0,무,126.9732648,37.5359683,197637.066,448496.4917
1020026000,녹사평역_반포로_진출,101,도로교차점,0,무,126.9868795,37.5363357,198840.378,448537.0108
1020026100,삼각지역_한강로_진입_1,101,도로교차점,0,무,126.9742878,37.5365231,197727.4987,448558.0357
1020026200,태국대사관,101,도로교차점,0,무,126.995385,37.536324,199592.1159,448535.6441
1020026300,삼각지역_한강로_진출_2,101,도로교차점,0,무,126.9741535,37.5365075,197715.6243,448556.304
1020026400,용산고가차도(북측),104,도로시설물,0,무,126.9705502,37.5363363,197397.1534,448537.4042
1020026500,삼각지고가차도(밑),101,도로교차점,1,유,126.970665,37.5367077,197407.3094,448578.6243
1020026600,서울중앙우체국,101,도로교차점,0,무,126.9583245,37.5368091,196316.6343,448590.2839
1020026700,오리온(주),101,도로교차점,1,유,126.970156,37.5368596,197362.3301,448595.4916
1020026800,용산등기소,101,도로교차점,1,유,126.9696171,37.5370263,197314.7051,448614.0124
1020026900,용문새마을금고,101,도로교차점,0,무,126.9596486,37.5372577,196433.6862,448640.0257
1020027000,준노블리안Ville,103,속성변화점,0,무,127.0133323,37.537229,201178.3255,448636.1549
1020027100,삼각지고가차도(서측),104,도로시설물,0,무,126.9677533,37.537595,197150.0016,448677.1818
1020027200,고당빌딩,101,도로교차점,0,무,126.964988,37.5374406,196905.5965,448660.1341
1020027300,이레빌딩,101,도로교차점,1,유,126.9680703,37.5374983,197178.0142,448666.438
1020027400,원효오피스텔,101,도로교차점,0,무,126.965749,37.5376722,196972.8652,448685.8098
1020027500,동호대교북단,105,행정경계,0,무,127.0166973,37.537701,201475.7195,448688.5877
1020027700,용산구-성동구경계(2),105,행정경계,0,무,127.0161277,37.5380901,201425.3718,448731.7694
1020027900,충남마대상사,101,도로교차점,1,유,126.9708669,37.5380671,197425.1992,448729.492
1020028000,용문빌딩,101,도로교차점,0,무,126.963322,37.5381686,196758.3835,448740.9909
1020028200,호성빌딩,101,도로교차점,0,무,127.0015851,37.5383364,200140.0933,448758.9834
1020028300,재정관리단앞,101,도로교차점,1,유,126.9868142,37.5383456,198834.6321,448760.084
1020028400,그랜드홈마트,101,도로교차점,1,유,126.9590464,37.5382228,196380.5038,448747.1623
1020028500,수원부동산,101,도로교차점,0,무,126.9597078,37.5384955,196438.9779,448777.3976
1020028600,온누리빌라,101,도로교차점,1,유,126.9610178,37.5385913,196554.7598,448787.981
1020028900,대우이안,101,도로교차점,1,유,126.9708815,37.5389611,197426.5222,448828.711
1020029000,용산구-성동구경계(3),105,행정경계,0,무,127.0119517,37.5390171,201056.2862,448834.5928
1020029100,효창공원앞역,101,도로교차점,1,유,126.9613909,37.5393095,196587.7609,448867.6822
1020029200,도원삼성래미안아파트,101,도로교차점,0,무,126.9582973,37.5394345,196314.3578,448881.6767
1020029300,북한남삼거리_이태원로_진입,101,도로교차점,0,무,127.0017195,37.5403123,200151.9634,448978.2849
1020029400,한남고가차도남단,101,도로교차점,0,무,127.0045683,37.5378386,200403.7521,448703.7447
1020029500,용산서,101,도로교차점,0,무,126.9690385,37.5402081,197263.683,448967.1616
1020029600,한미연구소,101,도로교차점,1,유,126.9968499,37.540916,199721.6032,449045.2855
1020029700,용마루고개,101,도로교차점,1,유,126.9576778,37.5408429,196259.6769,449038.0081
1020029800,서울용암초등학교,101,도로교차점,0,무,126.9880585,37.5419883,198944.657,449164.3598
1020029900,하얏트호텔,101,도로교차점,0,무,126.9968589,37.5411925,199722.397,449075.9772
1020030000,북한남삼거리_이태원로_진출,101,도로교차점,0,무,127.0019562,37.541221,200172.8806,449079.1387
1020030100,용산구-마포구경계(2),105,행정경계,0,무,126.9567442,37.5412907,196177.1929,449087.7498
1020030200,남영역,101,도로교차점,1,유,126.9708196,37.5416832,197421.1445,449130.8393
1020030300,북한남삼거리_한남로_진입,101,도로교차점,0,무,127.0030338,37.5416312,200268.1165,449124.6729
1020030400,효창맨숀아파트,101,도로교차점,1,유,126.9621229,37.5421396,196652.5825,449181.7611
1020030500,북한남삼거리_한남로_진출,101,도로교차점,0,무,127.0012078,37.5426881,200106.7416,449241.9617
1020030600,북한남삼거리,101,도로교차점,1,유,127.0023052,37.5420248,200203.7267,449168.3539
1020030700,남산3호터널남단,101,도로교차점,1,유,126.9884673,37.5441923,198980.8147,449408.9759
1020030800,남산관광고가차도(남측),104,도로시설물,0,무,127.0005661,37.5426776,200050.0281,449240.802
1020030900,주공이태원아파트,101,도로교차점,0,무,126.989073,37.5434472,199034.3352,449326.278
1020031000,청파치안센터,101,도로교차점,1,유,126.9707108,37.5441899,197411.6195,449409.0492
1020031200,용암초등학교,101,도로교차점,1,유,126.9910682,37.5443415,199210.6719,449425.5124
1020031300,남산2호터널_남산3호터널_진출,101,도로교차점,0,무,126.9893792,37.5439513,199061.3983,449382.2213
1020031400,농협남영동지점,101,도로교차점,1,유,126.9721744,37.544374,197540.9613,449429.4487
1020031500,버티고개삼거리,101,도로교차점,0,무,127.0021365,37.5443555,200188.8099,449427.029
1020031600,남산2호터널(남측),104,도로시설물,0,무,126.9900353,37.5445381,199119.3905,449447.3405
1020031700,남산3호터널_남산3호터널_진입,101,도로교차점,0,무,126.9882591,37.5448199,198962.4284,449478.6374
1020031800,명신프라자,101,도로교차점,1,유,126.967964,37.5447035,197168.8915,449466.1359
1020031900,숙명여대입구,101,도로교차점,1,유,126.9706297,37.5449336,197404.4757,449491.5994
1020032000,숙대입구역,101,도로교차점,1,유,126.9719989,37.5451178,197525.4831,449511.9988
1020032100,버티고개삼거리,104,도로시설물,0,무,127.002564,37.5457636,200226.5811,449583.3094
1020032200,용산2가새마을금고,101,도로교차점,0,무,126.9853488,37.5458559,198705.2506,449593.6554
1020032300,용산고교,101,도로교차점,0,무,126.9784763,37.5459521,198097.9248,449604.4504
1020032400,한남로거리,101,도로교차점,0,무,127.0025891,37.5462287,200228.8005,449634.9311
1020032500,용산2가동주민센터,101,도로교차점,1,유,126.9851839,37.5465877,198690.6985,449674.8827
1020032600,리차드빌딩,101,도로교차점,0,무,126.9633721,37.5465812,196763.1786,449674.6809
